Feature,Filter Rank,RFE Selected,DT Rank,RF Rank,Decision,Total Votes,Average Rank
inactive_repo_ratio,11,❌,3,5,⚠️ Optional,2,5.25
gists_per_year,14,❌,3,7,⚠️ Optional,2,7.0
repo_count,9,✅,3,19,⚠️ Optional,2,8.0
push_event_ratio,8,❌,3,23,⚠️ Optional,2,9.25
avg_repo_size,17,❌,3,8,⚠️ Optional,2,10.0
days_since_last_repo_push,21,❌,3,6,⚠️ Optional,2,10.0
follower_ratio,24,❌,3,1,⚠️ Optional,2,11.75
days_since_last_activity,1,✅,1,2,✅ Keep,4,1.25
account_age_days,3,✅,3,3,✅ Keep,4,2.5
language_count,6,✅,3,4,✅ Keep,4,3.5
has_bio,5,✅,3,9,✅ Keep,3,4.5
has_company,2,✅,3,13,✅ Keep,3,4.75
has_location,4,✅,3,11,✅ Keep,3,4.75
recent_event_count,7,✅,3,22,✅ Keep,3,8.25
active_event_days,10,❌,3,17,❌ Drop,1,8.75
archived_repo_ratio,13,❌,3,10,❌ Drop,1,9.25
recent_push_event_count,12,❌,3,21,❌ Drop,1,10.5
total_stars,18,❌,3,12,❌ Drop,1,10.5
repos_per_year,20,❌,3,18,❌ Drop,1,12.0
total_forks,15,❌,3,15,❌ Drop,1,12.25
days_since_last_event,19,❌,2,25,❌ Drop,1,13.5
avg_forks_per_repo,23,❌,3,14,❌ Drop,1,14.25
avg_stars_per_repo,16,❌,3,24,❌ Drop,1,14.5
fork_repo_ratio,26,❌,3,16,❌ Drop,1,14.75
has_no_repos,22,❌,3,26,❌ Drop,1,16.0
avg_open_issues_per_repo,25,❌,3,20,❌ Drop,1,16.5
avg_commits_per_week,27,❌,3,26,❌ Drop,1,19.0
recent_commit_count,27,❌,3,26,❌ Drop,1,19.25
