username,account_age_days,days_since_last_activity,days_since_last_repo_push,days_since_last_event,repos_per_year,gists_per_year,follower_ratio,inactive_repo_ratio,fork_repo_ratio,archived_repo_ratio,push_event_ratio,repo_count,total_stars,avg_stars_per_repo,total_forks,avg_forks_per_repo,avg_repo_size,avg_open_issues_per_repo,language_count,recent_event_count,recent_push_event_count,recent_commit_count,avg_commits_per_week,active_event_days,has_bio,has_company,has_location,has_no_repos,churned
torvalds,5398,0,0.0,0.0,0.8119673953316042,0.06766394961096703,307440.0,0.5,0.25,0.08333333333333333,0.91,12.0,248933.0,20744.416666666668,63791.0,5315.916666666667,534504.6666666666,6.75,3.0,100.0,91.0,0.0,0.0,23.0,0,1,1,0,0
mojombo,6813,17,687.0,0.0,3.538309114927345,3.323866138265082,2053.3333333333335,1.0,0.3787878787878788,0.0,0.0,66.0,14214.0,215.36363636363637,3971.0,60.166666666666664,5920.909090909091,8.287878787878787,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
pjhyett,6733,68,2846.0,0.0,0.43398188029110346,1.1392024357641466,271.03225806451616,1.0,0.25,0.0,0.0,8.0,606.0,75.75,137.0,17.125,602.125,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
wycats,6729,0,0.0,0.0,17.96667409719126,41.63274632189032,736.2142857142857,0.73,0.5,0.01,0.26,100.0,1394.0,13.94,145.0,1.45,24929.13,0.89,8.0,100.0,26.0,0.0,0.0,10.0,0,1,1,0,0
defunkt,6813,310,432.0,0.0,5.736349625715544,14.689343901365039,105.13888888888889,1.0,0.29,0.0,0.0,100.0,37213.0,372.13,5484.0,54.84,2901.41,5.63,11.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1
kennethreitz,6136,0,0.0,0.0,4.821585723598435,15.595746414602345,132.8,0.8395061728395061,0.4567901234567901,0.06172839506172839,0.66,81.0,21840.0,269.6296296296296,2108.0,26.02469135802469,67461.44444444444,2.382716049382716,10.0,100.0,66.0,0.0,0.0,5.0,1,0,1,0,0
octocat,5619,24,662.0,0.0,0.5200213561131874,0.5200213561131874,2296.6,1.0,0.25,0.0,0.0,8.0,21560.0,2695.0,164806.0,20600.75,4199.0,3397.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
gaearon,5499,2,60.0,2.0,19.660665575559193,5.446535733769776,519.0914285714285,0.91,0.7,0.04,0.0,100.0,40760.0,407.6,4968.0,49.68,96320.73,10.0,7.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
addyosmani,6161,1,1.0,1.0,21.105177730887846,10.43402045122545,187.1498127340824,0.83,0.36,0.01,0.26,100.0,118267.0,1182.67,11953.0,119.53,17575.25,6.08,8.0,100.0,26.0,0.0,0.0,22.0,1,1,1,0,0
sindresorhus,6020,0,0.0,0.0,68.80290697674418,6.0066029900332225,2492.8125,0.0,0.0,0.01,0.26,100.0,780987.0,7809.87,56602.0,566.02,3046.83,6.57,9.0,100.0,26.0,0.0,0.0,2.0,1,0,0,0,0
tj,6478,2,2.0,0.0,16.689410311824638,31.067111762889784,1125.4782608695652,0.97,0.08,0.01,0.0,100.0,121871.0,1218.71,8180.0,81.8,936.12,8.24,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
JakeWharton,6291,0,0.0,0.0,8.766928946113495,3.1351931330472103,6835.8,0.59,0.1,0.33,0.36,100.0,120207.0,1202.07,16586.0,165.86,37941.99,12.1,10.0,100.0,36.0,0.0,0.0,8.0,0,1,1,0,0
yyx990803,5678,18,113.0,18.0,12.736791123635083,4.695887636491722,1071.7227722772277,0.99,0.64,0.02,0.3333333333333333,100.0,15777.0,157.77,1720.0,17.2,18046.61,1.84,11.0,6.0,2.0,0.0,0.0,2.0,1,1,1,0,0
antirez,6294,0,0.0,0.0,6.2673975214489985,12.650857959961868,5732.8,0.78,0.07,0.0,0.18,100.0,74773.0,747.73,9024.0,90.24,7238.07,11.46,9.0,100.0,18.0,0.0,0.0,16.0,1,1,1,0,0
martinfowler,6133,6,0.0,0.0,0.0,0.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
mdo,6199,0,12.0,0.0,1.9443861913211808,0.6481287304403937,11837.5,0.9393939393939394,0.3333333333333333,0.09090909090909091,0.35,33.0,21519.0,652.0909090909091,2266.0,68.66666666666667,9288.333333333334,2.727272727272727,5.0,100.0,35.0,0.0,0.0,10.0,1,1,1,0,0
dhh,6670,6,62.0,6.0,0.3285607196401799,3.0665667166416792,25081.0,0.6666666666666666,0.5,0.3333333333333333,0.82,6.0,249.0,41.5,40.0,6.666666666666667,2870.0,0.5,1.0,100.0,82.0,0.0,0.0,10.0,0,1,0,0,0
sebmarkbage,6300,78,143.0,0.0,4.406190476190477,3.8844047619047624,247.92105263157896,0.9736842105263158,0.5394736842105263,0.0,0.0,76.0,2543.0,33.46052631578947,203.0,2.6710526315789473,39022.80263157895,0.6710526315789473,7.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
getify,6063,0,0.0,0.0,4.45794161306284,24.759648688767935,11288.25,0.9324324324324325,0.04054054054054054,0.5540540540540541,0.97,74.0,216239.0,2922.1486486486488,36968.0,499.56756756756755,1835.7162162162163,3.4324324324324325,5.0,100.0,97.0,0.0,0.0,7.0,1,1,1,0,0
