username,user_type,user_created_at,user_updated_at,public_repos,public_gists,followers,following,bio,company,location,last_activity_at,last_repo_push_at,last_event_at,days_since_last_activity,churned
torvalds,User,2011-09-03T15:26:22Z,2026-06-02T05:33:59Z,12,1,307440,0,,Linux Foundation,"Portland, OR",2026-06-15 10:27:12+00:00,2026-06-15 10:27:11+00:00,2026-06-15 10:27:12+00:00,0,0
mojombo,User,2007-10-20T05:24:19Z,2026-05-29T01:54:43Z,66,62,24640,11,,"@chatterbugapp, @redwoodjs, @preston-werner-ventures ",San Francisco,2026-05-29 01:54:43+00:00,2024-07-27 16:45:37+00:00,,17,0
pjhyett,User,2008-01-07T17:54:22Z,2026-04-07T17:46:52Z,8,21,8402,30,,,,2026-04-07 17:46:52+00:00,2018-08-30 11:54:05+00:00,,68,0
wycats,User,2008-01-12T05:38:33Z,2026-06-12T15:49:52Z,331,767,10307,13,,@heroku,"Portland, OR",2026-06-15 05:27:50+00:00,2026-06-15 05:27:49+00:00,2026-06-15 05:27:50+00:00,0,0
defunkt,User,2007-10-20T05:24:19Z,2025-08-08T19:18:26Z,107,274,22710,215,🍔,,,2025-08-08 19:18:26+00:00,2025-04-09 06:43:21+00:00,,310,1
kennethreitz,User,2009-08-26T21:17:47Z,2026-05-14T18:23:32Z,81,262,29880,224,I wrote Requests: HTTP for Humans and Pipenv. The only thing I really care about is user experience.,,"Virginia, USA, Earth, Milky Way.",2026-06-14 18:29:51+00:00,2026-06-14 18:29:51+00:00,2026-06-14 18:29:51+00:00,0,0
octocat,User,2011-01-25T18:44:36Z,2026-05-22T11:38:32Z,8,8,22966,9,,@github,San Francisco,2026-05-22 11:38:32+00:00,2024-08-21 15:25:42+00:00,,24,0
gaearon,User,2011-05-25T18:18:31Z,2026-06-09T20:51:49Z,296,82,90841,174,,,,2026-06-12 13:01:20+00:00,2026-04-15 19:24:43+00:00,2026-06-12 13:01:20+00:00,2,0
addyosmani,User,2009-08-01T18:39:25Z,2026-04-17T06:03:52Z,356,176,49969,266,Director at Google working on Gemini and  Google Cloud,Google,"Sunnyvale, California",2026-06-14 09:08:36+00:00,2026-06-14 09:08:35+00:00,2026-06-14 09:08:36+00:00,1,0
sindresorhus,User,2009-12-20T22:57:02Z,2026-06-12T08:47:25Z,1134,99,79770,31,"Full-Time Open-Sourcerer. Focused on Swift & JavaScript. Makes macOS apps, CLI tools, npm packages.",,,2026-06-15 10:00:03+00:00,2026-06-15 10:00:03+00:00,2026-06-15 10:00:03+00:00,0,0
tj,User,2008-09-18T22:37:28Z,2026-04-02T08:29:42Z,296,551,51772,45,,Apex,,2026-06-13 07:35:14+00:00,2026-06-13 07:35:14+00:00,,2,0
JakeWharton,User,2009-03-24T16:09:53Z,2026-06-09T20:38:48Z,151,54,68358,9,,@SkylightFamily,"Pittsburgh, PA, USA",2026-06-14 22:30:15+00:00,2026-06-14 15:14:47+00:00,2026-06-14 22:30:15+00:00,0,0
yyx990803,User,2010-11-28T01:05:40Z,2026-04-24T09:28:14Z,198,73,108244,100,"Founder @voidzero-dev, author of @vuejs and @vitejs. Connoisseur of sushi.",VoidZero,Singapore,2026-05-27 18:33:07+00:00,2026-02-22 02:25:58+00:00,2026-05-27 18:33:07+00:00,18,0
antirez,User,2009-03-21T22:29:53Z,2026-04-23T14:18:39Z,108,218,28664,4,"Computer programmer based in Sicily, Italy. I mostly write OSS software. Born 1977. Not a puritan.",Redis Labs,"Catania, Sicily, Italy",2026-06-15 07:33:43+00:00,2026-06-15 07:29:59+00:00,2026-06-15 07:33:43+00:00,0,0
martinfowler,User,2009-08-29T14:26:50Z,2026-06-09T10:11:33Z,0,0,1098,0,,,,2026-06-09 10:11:33+00:00,,,6,0
mdo,User,2009-06-25T02:06:14Z,2026-05-11T17:44:30Z,33,11,23675,1,"Designer, developer, and advisor. Building Pierre. Creator of Bootstrap (@twbs). Previously @github and @twitter. Huge nerd.",@pierredotco ,"San Francisco, CA",2026-06-14 21:41:10+00:00,2026-06-03 04:50:15+00:00,2026-06-14 21:41:10+00:00,0,0
dhh,User,2008-03-10T17:53:51Z,2026-05-22T16:17:37Z,6,56,25081,0,,37signals,,2026-06-08 15:48:12+00:00,2026-04-13 22:08:07+00:00,2026-06-08 15:48:12+00:00,6,0
sebmarkbage,User,2009-03-15T15:25:49Z,2026-03-28T13:29:05Z,76,67,9421,37,,Vercel,New York City,2026-03-28 13:29:05+00:00,2026-01-23 01:45:13+00:00,,78,0
getify,User,2009-11-08T06:56:21Z,2026-04-28T20:14:44Z,74,411,45153,3,Kyle Simpson is a Human-Centric Technologist. He's fighting for the people behind the pixels.,Getify Solutions,"Austin, TX",2026-06-15 06:21:03+00:00,2026-06-15 06:21:02+00:00,2026-06-15 06:21:03+00:00,0,0
